========== FactorVAEModel 训练配置 ==========
d_feat: 20
time_span: 20
stock_size: 300
latent_size: 64
factor_size: 16
gru_input_size: 20
hidden_size: 64
gamma: 1.0
n_epochs: 300
lr: 0.001
early_stop: 30
batch_size: 512
optimizer: adam
GPU: 6
seed: None
===================================================

========== 训练过程 ==========
Epoch 108: train_loss 1.0891, valid_loss 3.7708
Epoch 109: train_loss 1.0891, valid_loss 3.7724
Epoch 110: train_loss 1.0891, valid_loss 3.7716
Epoch 111: train_loss 1.0890, valid_loss 3.7711
Epoch 112: train_loss 1.0887, valid_loss 3.7709
Epoch 113: train_loss 1.0886, valid_loss 3.7699
Epoch 114: train_loss 1.0884, valid_loss 3.7712
Epoch 115: train_loss 1.0882, valid_loss 3.7705
Epoch 116: train_loss 1.0881, valid_loss 3.7712
Epoch 117: train_loss 1.0880, valid_loss 3.7714
Epoch 118: train_loss 1.0882, valid_loss 3.7684
Epoch 119: train_loss 1.0880, valid_loss 3.7717
Epoch 120: train_loss 1.0879, valid_loss 3.7713
Epoch 121: train_loss 1.0879, valid_loss 3.7717
Epoch 122: train_loss 1.0878, valid_loss 3.7706
Epoch 123: train_loss 1.0876, valid_loss 3.7677
Epoch 124: train_loss 1.0876, valid_loss 3.7706
Epoch 125: train_loss 1.0874, valid_loss 3.7696
Epoch 126: train_loss 1.0871, valid_loss 3.7698
Epoch 127: train_loss 1.0870, valid_loss 3.7686
Epoch 128: train_loss 1.0870, valid_loss 3.7685
Epoch 129: train_loss 1.0867, valid_loss 3.7687
Epoch 130: train_loss 1.0866, valid_loss 3.7690
Epoch 131: train_loss 1.0865, valid_loss 3.7697
Epoch 132: train_loss 1.0863, valid_loss 3.7705
Epoch 133: train_loss 1.0863, valid_loss 3.7702
Epoch 134: train_loss 1.0861, valid_loss 3.7707
Epoch 135: train_loss 1.0861, valid_loss 3.7696
Epoch 136: train_loss 1.0862, valid_loss 3.7699
Epoch 137: train_loss 1.0859, valid_loss 3.7695
Epoch 138: train_loss 1.0858, valid_loss 3.7685
Epoch 139: train_loss 1.0856, valid_loss 3.7684
Epoch 140: train_loss 1.0855, valid_loss 3.7663
Epoch 141: train_loss 1.0854, valid_loss 3.7687
Epoch 142: train_loss 1.0853, valid_loss 3.7676
Epoch 143: train_loss 1.0852, valid_loss 3.7697
Epoch 144: train_loss 1.0853, valid_loss 3.7681
Epoch 145: train_loss 1.0851, valid_loss 3.7696
Epoch 146: train_loss 1.0851, valid_loss 3.7680
Epoch 147: train_loss 1.0849, valid_loss 3.7668
Epoch 148: train_loss 1.0849, valid_loss 3.7671
Epoch 149: train_loss 1.0847, valid_loss 3.7681
Epoch 150: train_loss 1.0848, valid_loss 3.7686
Epoch 151: train_loss 1.0847, valid_loss 3.7699
Epoch 152: train_loss 1.0847, valid_loss 3.7692
Epoch 153: train_loss 1.0844, valid_loss 3.7703
Epoch 154: train_loss 1.0842, valid_loss 3.7660
Epoch 155: train_loss 1.0841, valid_loss 3.7672
Epoch 156: train_loss 1.0840, valid_loss 3.7669
Epoch 157: train_loss 1.0840, valid_loss 3.7681
Epoch 158: train_loss 1.0839, valid_loss 3.7684
Epoch 159: train_loss 1.0837, valid_loss 3.7672
Epoch 160: train_loss 1.0836, valid_loss 3.7690
Epoch 161: train_loss 1.0836, valid_loss 3.7689
Epoch 162: train_loss 1.0835, valid_loss 3.7700
Epoch 163: train_loss 1.0834, valid_loss 3.7690
Epoch 164: train_loss 1.0832, valid_loss 3.7687
Epoch 165: train_loss 1.0831, valid_loss 3.7687
Epoch 166: train_loss 1.0829, valid_loss 3.7675
Epoch 167: train_loss 1.0830, valid_loss 3.7686
Epoch 168: train_loss 1.0831, valid_loss 3.7668
Epoch 169: train_loss 1.0830, valid_loss 3.7682
Epoch 170: train_loss 1.0830, valid_loss 3.7730
Epoch 171: train_loss 1.0829, valid_loss 3.7695
Epoch 172: train_loss 1.0826, valid_loss 3.7672
Epoch 173: train_loss 1.0824, valid_loss 3.7693
Epoch 174: train_loss 1.0823, valid_loss 3.7686
Epoch 175: train_loss 1.0821, valid_loss 3.7699
Epoch 176: train_loss 1.0820, valid_loss 3.7701
Epoch 177: train_loss 1.0819, valid_loss 3.7701
Epoch 178: train_loss 1.0820, valid_loss 3.7682
Epoch 179: train_loss 1.0818, valid_loss 3.7696
Epoch 180: train_loss 1.0817, valid_loss 3.7704
Epoch 181: train_loss 1.0818, valid_loss 3.7702
Epoch 182: train_loss 1.0814, valid_loss 3.7706
Epoch 183: train_loss 1.0813, valid_loss 3.7704
Epoch 184: train_loss 1.0814, valid_loss 3.7705
Best Loss: 3.766033 @ Epoch 154
{'IC': np.float64(0.004136504975234271),
 'ICIR': np.float64(0.01734401612318057),
 'Rank IC': np.float64(0.002205725600737659),
 'Rank ICIR': np.float64(0.00966240217101233)}

 ========== FactorVAEModel 训练配置 ==========
d_feat: 20
time_span: 20
stock_size: 300
latent_size: 64
factor_size: 16
gru_input_size: 20
hidden_size: 64
gamma: 1.0
n_epochs: 300
lr: 0.001
early_stop: 30
batch_size: 512
optimizer: adam
GPU: 6
seed: None
===================================================

========== 训练过程 ==========
Epoch 0: train_loss 0.2864, valid_loss 0.2061
Epoch 1: train_loss 0.2584, valid_loss 0.1984
Epoch 2: train_loss 0.2547, valid_loss 0.1984
Epoch 3: train_loss 0.2547, valid_loss 0.1976
Epoch 4: train_loss 0.2536, valid_loss 0.1967
Epoch 5: train_loss 0.2526, valid_loss 0.1967
Epoch 6: train_loss 0.2525, valid_loss 0.1966
Epoch 7: train_loss 0.2524, valid_loss 0.1963
Epoch 8: train_loss 0.2521, valid_loss 0.1959
Epoch 9: train_loss 0.2519, valid_loss 0.1957
Epoch 10: train_loss 0.2519, valid_loss 0.1956
Epoch 11: train_loss 0.2518, valid_loss 0.1956
Epoch 12: train_loss 0.2517, valid_loss 0.1956
Epoch 13: train_loss 0.2516, valid_loss 0.1955
